"","band","captureyear","month","birthyear","actualage","agegroup","CP","BP","loc","station","freq"
"197",152106923,1996,5,0,-1,"A",3,0,"CRAN","SULP",1
"198",152106924,1995,7,0,-1,"A",0,4,"CRAN","FIRS",1
"199",152106928,1995,7,0,-1,"A",2,0,"CRAN","WICE",1
"200",152106929,1995,7,0,-1,"A",1,0,"CRAN","SULP",1
"201",152106931,1995,7,0,-1,"A",0,3,"CRAN","EABO",1
"202",152106931,1995,7,0,-1,"A",0,4,"CRAN","EABO",1
"203",152106932,1995,7,0,-1,"A",2,0,"CRAN","WICE",1
"204",152106933,1995,7,0,-1,"A",2,0,"CRAN","WICE",1
"205",152106940,1995,7,0,-1,"A",0,3,"CRAN","FIRS",1
"206",152106955,1995,8,1995,0,"J",0,0,"CRAN","EABO",1
"207",152106957,1996,5,0,-1,"A",0,1,"CRAN","SULP",1
"208",152106958,1996,5,0,-1,"A",0,0,"CRAN","SULP",1
"209",152106958,1996,7,0,-1,"A",0,0,"CRAN","SULP",1
"210",152106959,1996,5,0,-1,"A",0,0,"CRAN","SULP",1
"211",152106960,1996,5,0,-1,"A",1,0,"CRAN","SULP",1
"212",152106961,1996,5,0,-1,"A",0,0,"CRAN","SULP",1
"213",152106961,1996,6,0,-1,"A",2,0,"CRAN","SULP",1
"214",152106963,1996,5,0,-1,"A",0,1,"CRAN","SULP",1
"215",152106964,1996,5,0,-1,"A",0,2,"CRAN","SULP",1
"216",152106965,1996,6,0,-1,"A",1,0,"CRAN","EABO",1
"217",152106965,1996,6,0,-1,"A",2,0,"CRAN","EABO",1
"218",152106965,1997,7,0,-1,"A",1,0,"CRAN","EABO",1
"219",152106965,1998,8,0,-1,"A",1,0,"CRAN","EABO",1
"220",152106966,1996,6,0,-1,"A",2,0,"CRAN","EABO",1
"221",152106974,1996,6,0,-1,"A",0,2,"CRAN","SULP",1
"222",152106977,1996,6,0,-1,"A",0,0,"CRAN","EABO",1
"223",152106977,1996,6,0,-1,"A",1,0,"CRAN","EABO",1
"224",152106977,1997,6,0,-1,"A",0,0,"CRAN","EABO",1
"225",152106977,1997,7,0,-1,"A",0,0,"CRAN","EABO",1
"226",152106978,1996,6,0,-1,"A",0,3,"CRAN","EABO",1
"227",152106988,1996,6,0,-1,"A",2,0,"CRAN","WICE",1
"228",152106996,1996,7,0,-1,"A",2,0,"CRAN","WICE",1
"229",152107119,1995,6,0,-1,"A",2,0,"BRAG","I104",1
"230",152107131,1995,6,0,-1,"A",NA,4,"BRAG","I104",1
"231",152107131,1995,6,0,-1,"A",0,4,"BRAG","I104",1
"232",152107158,1995,7,0,-1,"A",0,4,"BRAG","S110",1
"233",152107164,1995,7,0,-1,"A",0,4,"BRAG","I104",1
"234",152107177,1995,7,1995,0,"J",0,0,"BRAG","I104",1
"235",152107200,1996,5,0,-1,"A",2,0,"BRAG","S114",1
"236",152107250,1996,8,1996,0,"J",0,0,"BRAG","I104",1
"237",152107303,1996,7,0,-1,"A",0,3,"CRAN","SULP",1
"238",152107303,1996,8,0,-1,"A",0,4,"CRAN","SULP",1
"239",152107308,1996,7,1996,0,"J",0,0,"CRAN","SULP",1
"240",152107309,1996,7,1996,0,"J",0,0,"CRAN","SULP",1
"241",152107310,1996,7,1996,0,"J",0,0,"CRAN","WICE",1
"242",152107311,1996,7,0,-1,"A",0,4,"CRAN","WICE",1
"243",152107317,1996,7,1996,0,"J",0,0,"CRAN","WICE",1
"244",152107327,1998,6,0,-1,"A",0,3,"CRAN","SULP",1
"245",152107327,1998,7,0,-1,"A",0,4,"CRAN","SULP",1
"246",152107331,1998,6,0,-1,"A",2,0,"CRAN","EABO",1
"247",152107331,1999,6,0,-1,"A",1,0,"CRAN","EABO",1
"248",152107332,1998,6,0,-1,"A",2,0,"CRAN","EABO",1
"249",152107332,1999,5,0,-1,"A",1,0,"CRAN","EABO",1
"250",152107332,1999,7,0,-1,"A",2,0,"CRAN","EABO",1
"251",152107337,1998,6,0,-1,"A",0,3,"CRAN","EABO",1
"252",152107338,1998,6,0,-1,"A",2,0,"CRAN","EABO",1
"253",152107340,1998,7,0,-1,"A",0,3,"CRAN","SULP",1
"254",152107344,1998,7,1998,0,"J",0,0,"CRAN","EABO",1
"255",152107355,1999,5,0,-1,"A",1,0,"CRAN","WICE",1
"256",152107356,1999,5,0,-1,"A",0,3,"CRAN","EABO",1
"257",152107356,2001,6,0,-1,"A",0,3,"CRAN","EABO",1
"258",152107357,1999,5,0,-1,"A",2,0,"CRAN","EABO",1
"259",152107360,1999,6,0,-1,"A",0,2,"CRAN","FIRS",1
"260",152107362,1999,6,0,-1,"A",0,4,"CRAN","EABO",1
"261",152107362,2000,6,0,-1,"A",0,3,"CRAN","EABO",1
"262",152107362,2002,6,0,-1,"A",0,3,"CRAN","EABO",1
"263",152107363,1999,6,0,-1,"A",0,4,"CRAN","SULP",1
"264",152107363,2001,6,0,-1,"A",0,4,"CRAN","SULP",1
"265",152107363,2001,7,0,-1,"A",0,3,"CRAN","SULP",1
"266",152107363,2002,7,0,-1,"A",0,2,"CRAN","SULP",1
"267",152107369,1999,6,0,-1,"A",0,0,"CRAN","SULP",1
"268",152107369,2000,6,0,-1,"A",3,0,"CRAN","SULP",1
"269",152107370,1999,6,0,-1,"A",0,0,"CRAN","SULP",1
"270",152107370,2000,6,0,-1,"A",3,0,"CRAN","SULP",1
"271",152107376,1999,6,0,-1,"A",1,0,"CRAN","EABO",1
"272",152107378,1999,6,0,-1,"A",0,4,"CRAN","SULP",1
